Metadata_treatment	Metadata_dose	Metadata_Nuclei_Location_Center_X	Metadata_Nuclei_Location_Center_Y	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_ZSlice	UMAP0	UMAP1
DMSO	1	455.84515890613454	1097.101441241685	NF0014	G9	2	ZS060	10.488344	3.3223882
Onalespib	1	997.9212565445026	587.6843979057592	NF0014	F2	1	ZS016	9.02552	1.7983509
Cabozantinib	1	933.3730822873082	828.089260808926	NF0014	E7	2	ZS028	14.360832	2.497238
DMSO	1	594.7491039426524	876.4623655913979	NF0014	E4	1	ZS048	12.1164665	0.90623325
Cabozantinib	1	732.3688940992575	395.80773739742085	NF0014	D7	1	ZS046	13.056751	-0.20178688
Binimetinib	10	645.430651619949	1187.039679650528	NF0014	D8	1	ZS034	13.3356695	-0.69960576
Selumetinib	1	919.7298657718121	1270.6258389261745	NF0014	D11	2	ZS060	13.62449	3.4100513
DMSO	1	1266.5561224489795	539.344387755102	NF0014	F9	2	ZS046	13.370322	3.3419917
DMSO	1	1105.5799029300738	677.2279345676793	NF0014	C4	2	ZS032	12.200756	2.4860737
Binimetinib	1	851.3063444108761	734.0302114803625	NF0014	G7	1	ZS024	11.024634	4.5112963
Onalespib	1	896.1806576402321	635.3404255319149	NF0014	F2	1	ZS016	9.108584	0.59669423
Everolimus	1	567.5648667601683	628.4824684431977	NF0014	C5	1	ZS052	11.56733	3.0033422
Ketotifen	1	436.77804500944853	867.5177804500945	NF0014	G6	1	ZS018	9.3588705	1.9338964
Fimepinostat	1	859.4421875	771.6703125	NF0014	D5	2	ZS016	10.6164055	0.22044742
Fimepinostat	1	1048.1838235294117	832.1080316742082	NF0014	D5	1	ZS010	10.56027	5.146787
Nilotinib	1	1093.9364657210401	416.9299645390071	NF0014	F6	1	ZS044	12.9836855	1.2291135
Mirdametinib	10	1061.6730418943534	923.492714025501	NF0014	C9	1	ZS032	9.497767	-1.0818995
Selumetinib	10	1226.6978702923836	661.4823727589941	NF0014	F11	1	ZS056	11.297103	2.160079
Digoxin	1	470.2014925373134	357.85820895522386	NF0014	D2	1	ZS026	11.961684	-1.2335892
Binimetinib	1	960.670501232539	1094.1602300739523	NF0014	G7	2	ZS016	9.454258	0.0056355577
Fimepinostat	1	1025.0240963855422	902.2650602409639	NF0014	D5	2	ZS016	11.459395	-1.0125023
Trametinib	10	719.3251533742331	786.8895705521472	NF0014	F10	1	ZS048	12.944772	2.766745
Selumetinib	1	833.2820168067227	1324.0299159663866	NF0014	D11	2	ZS060	13.580582	2.4286315
Rapamycin	1	1080.277628032345	962.576626877166	NF0014	F5	2	ZS038	11.018814	2.3597515
Mirdametinib	10	831.0275387263339	875.164276152228	NF0014	C9	2	ZS030	14.055551	1.2302432
Selumetinib	10	258.8214867064569	721.6966901790558	NF0014	F11	3	ZS028	10.194136	0.07539174
Nilotinib	1	594.5158996642307	750.1558364605964	NF0014	F6	1	ZS044	10.957398	2.768214
DMSO	1	909.2929858317299	817.6290012244184	NF0014	D9	1	ZS048	11.641332	3.4292643
Nilotinib	1	928.5294755520505	638.2045544164038	NF0014	E6	1	ZS054	13.410886	1.5350674
Selumetinib	1	1113.2197397495704	241.30190686635567	NF0014	D11	2	ZS060	11.323446	3.3365185
Digoxin	1	1109.4233345082835	731.7363412054988	NF0014	D2	1	ZS026	9.195837	0.9722544
Staurosporine	10	468.0256797583082	679.0022658610272	NF0014	C11	1	ZS030	9.32357	0.52065074
